id_produit,nom,categorie
9,Electric Wax Warmer,Maison
19,Hand Crank Blender,Cuisine
35,Non-Stick Grill Pan,Cuisine
45,Scented Soy Candles,Maison
52,Luxury Memory Foam Mattress Topper,Maison
55,Scent Diffuser,Maison
65,Wine Glasses,Maison
66,Pest Control Traps,Maison
75,Pest Control Traps,Maison
81,Luxury Memory Foam Mattress Topper,Maison
83,Multicolored LED Strip Lights,Maison
91,Multi-Layer Food Steamer,Cuisine
96,Vegetable Spiralizer,Cuisine
110,Dual Function Electric Skillet,Cuisine
115,Memory Foam Mattress Topper,Maison
121,Eco-Friendly Beeswax Wraps,Cuisine
124,Electric Butter Churn,Cuisine
131,Manual Coffee Grinder,Cuisine
184,Magic Color-Changing Mug,Cuisine
190,Non-Stick Crepe Pan,Cuisine
198,Heated Throw Blanket,Maison
202,Ceramic Cookware Set,Cuisine
212,Snap-On Tupperware Set,Cuisine
230,Electric Stir Fry Pan,Cuisine
242,Digital Wireless Meat Thermometer,Cuisine
247,Plant-Based Meal Prep Containers,Cuisine
250,Electric Stir Fry Pan,Cuisine
252,Spice Rack,Cuisine
259,Fridge Magnet Set,Maison
262,Professional Chef Knife,Cuisine
272,Salt and Pepper Grinder Set,Cuisine
283,Cocktail Shaker Set,Cuisine
291,Tea Infuser Bottle,Cuisine
296,LED Strip Lights with Remote Control,Maison
298,LED Strip Lights with Remote Control,Maison
299,Decorative Throw Pillows,Maison
301,Halloween Decoration Set,Maison
304,Faux Fur Throw Blanket,Maison
307,Silicone Ice Cube Tray,Cuisine
321,Ice Cream Scoop,Cuisine
322,Wall-Mounted Wine Rack,Maison
326,Pasta Portion Control Measure,Cuisine
328,Luminous Night Light,Maison
340,Microfiber Cleaning Cloths,Maison
342,Eco-Friendly Cleaning Cloths,Maison
351,Faux Fur Throw Blanket,Maison
355,Electric Wax Warmer,Maison
366,Chopping Board,Cuisine
371,Wooden Kitchen Utensil Set,Cuisine
374,Wall Calendar,Maison
376,Electric Griddle with Removable Plates,Cuisine
388,LED Under Cabinet Lighting,Maison
389,Electric Opener for Jars and Bottles,Cuisine
392,Spice Rack,Cuisine
395,Air Fryer Oven,Cuisine
397,Multi-Layer Food Steamer,Cuisine
402,Hand Mixer,Cuisine
405,Indoor Grill,Cuisine
410,Rustic Wooden Picture Frame,Maison
411,Oven Thermometer,Cuisine
438,Electric Egg Cooker,Cuisine
440,Ceramic Cookware Set,Cuisine
470,Decorative Wall Tapestry,Maison
479,Instant Read Meat Thermometer,Cuisine
500,Air Fryer Oven,Cuisine
501,Reusable Food Storage Bags,Cuisine
504,Hand Crank Blender,Cuisine
518,Biodegradable Trash Bags,Maison
528,Electric Food Slicer,Cuisine
529,Electric Hot Water Dispenser,Cuisine
535,Personal Blender with Travel Lid,Cuisine
546,Electric Stool Heater,Maison
551,Ice Cream Maker,Cuisine
562,Luxury Memory Foam Mattress Topper,Maison
564,Magic Color-Changing Mug,Cuisine
568,Wireless Security Camera,Maison
569,Insulated Lunch Bag,Cuisine
582,Wall Art Stickers,Maison
583,Reusable Coffee Filter,Cuisine
586,LED Christmas Lights,Maison
587,Ice Cream Maker,Cuisine
588,Decorative Throw Pillows,Maison
590,Microfiber Cleaning Cloth Set,Maison
603,Electric Blanket,Maison
604,Stainless Steel Mixing Bowls,Cuisine
613,Ceramic Cookware Set,Cuisine
619,Eco-Friendly Cleaning Cloths,Maison
636,Rechargeable Battery Organizer,Maison
649,Travel Mug,Cuisine
661,Glass Food Containers,Cuisine
664,Magnetic Spice Containers,Cuisine
668,Multi-Layer Food Steamer,Cuisine
677,Professional Chef Knife,Cuisine
678,Plant-Based Meal Prep Containers,Cuisine
684,Bamboo Utensil Set,Cuisine
686,Personal Blender with Travel Cup,Cuisine
693,Multi-Function Meat Tenderizer,Cuisine
697,Digital Kitchen Timer,Cuisine
702,Tea Infuser,Cuisine
705,Electric Stool Heater,Maison
706,High-Speed Hand Blender,Cuisine
707,Coffee Maker,Cuisine
710,Compact Shoe Rack,Maison
732,Dish Soap Dispenser,Cuisine
753,Ceramic Bakeware Set,Cuisine
780,Measuring Cups Set,Cuisine
793,Tea Set with Infuser,Cuisine
794,Wall-Mounted Organizer,Maison
803,Travel Mug with Leak-Proof Lid,Cuisine
818,Over-the-Door Shoe Organizer,Maison
819,Air Fryer,Cuisine
820,Rechargeable Battery Organizer,Maison
842,Non-Stick Baking Sheets,Cuisine
846,Siphon Coffee Maker,Cuisine
851,Chopping Board,Cuisine
853,LED Under Cabinet Lighting,Maison
869,USB Desk Fan,Maison
872,Compact Shoe Rack,Maison
889,Coconut Bowls Set,Cuisine
897,High-Speed Blender,Cuisine
900,Scent Diffuser Oil,Maison
908,Digital Food Scale,Cuisine
920,Personal Blender,Cuisine
929,Siphon Coffee Maker,Cuisine
942,Incense Holder,Maison
946,LED Desk Light,Maison
980,Mini Fondue Set,Cuisine
991,Wall-Mounted Wine Rack,Maison
993,Multicolored LED Strip Lights,Maison
996,Electric Wax Warmer,Maison
